,text,words,label
25,appli power deeplearn gt tech ai ml dl machinelearn data digit innov cyberthreat leadership startup ciso cio cto cdo,"['appli', 'power', 'deeplearn', 'gt', 'tech', 'ai', 'ml', 'dl', 'machinelearn', 'data', 'digit', 'innov', 'cyberthreat', 'leadership', 'startup', 'ciso', 'cio', 'cto', 'cdo']",0
26,appli power deeplearn gt tech ai ml dl machinelearn data digit innov cyberthreat leadership startup ciso cio cto cdo,"['appli', 'power', 'deeplearn', 'gt', 'tech', 'ai', 'ml', 'dl', 'machinelearn', 'data', 'digit', 'innov', 'cyberthreat', 'leadership', 'startup', 'ciso', 'cio', 'cto', 'cdo']",0
27,appli power deeplearn gt tech ai ml dl machinelearn data digit innov cyberthreat leadership startup ciso cio cto cdo,"['appli', 'power', 'deeplearn', 'gt', 'tech', 'ai', 'ml', 'dl', 'machinelearn', 'data', 'digit', 'innov', 'cyberthreat', 'leadership', 'startup', 'ciso', 'cio', 'cto', 'cdo']",0
28,hot press add industri first capabl protect graphql api read news graphql apisecur opensourc,"['hot', 'press', 'add', 'industri', 'first', 'capabl', 'protect', 'graphql', 'api', 'read', 'news', 'graphql', 'apisecur', 'opensourc']",0
29,hot press add industri first capabl protect graphql api read news graphql apisecur opensourc,"['hot', 'press', 'add', 'industri', 'first', 'capabl', 'protect', 'graphql', 'api', 'read', 'news', 'graphql', 'apisecur', 'opensourc']",0
30,remotework increas compani vulner cfo manag mitig risk,"['remotework', 'increas', 'compani', 'vulner', 'cfo', 'manag', 'mitig', 'risk']",0
31,remotework increas compani vulner cfo manag mitig risk,"['remotework', 'increas', 'compani', 'vulner', 'cfo', 'manag', 'mitig', 'risk']",0
32,remotework increas compani vulner cfo manag mitig risk,"['remotework', 'increas', 'compani', 'vulner', 'cfo', 'manag', 'mitig', 'risk']",0
33,thank warn wef nsa director warn us food suppli chain past week escal becom nation issu grain compani recent week cyberpandem meet supplychain,"['thank', 'warn', 'wef', 'nsa', 'director', 'warn', 'us', 'food', 'suppli', 'chain', 'past', 'week', 'escal', 'becom', 'nation', 'issu', 'grain', 'compani', 'recent', 'week', 'cyberpandem', 'meet', 'supplychain']",0
34,facebook su ukranian hacker alleg scrape sold data,"['facebook', 'su', 'ukranian', 'hacker', 'alleg', 'scrape', 'sold', 'data']",0
35,facebook su ukranian hacker alleg scrape sold data,"['facebook', 'su', 'ukranian', 'hacker', 'alleg', 'scrape', 'sold', 'data']",0
36,facebook su ukranian hacker alleg scrape sold data,"['facebook', 'su', 'ukranian', 'hacker', 'alleg', 'scrape', 'sold', 'data']",0
37,feder agenc issu joint statement manag libor transit cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['feder', 'agenc', 'issu', 'joint', 'statement', 'manag', 'libor', 'transit', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
38,disrupt rise happen find twitterspac event featur dpn global ambassador est,"['disrupt', 'rise', 'happen', 'find', 'twitterspac', 'event', 'featur', 'dpn', 'global', 'ambassador', 'est']",0
39,nc offici use new technolog stop ransomwar cb stranger north carolina agenc last two year state joint task forc respond incid exetlo,"['nc', 'offici', 'use', 'new', 'technolog', 'stop', 'ransomwar', 'cb', 'stranger', 'north', 'carolina', 'agenc', 'last', 'two', 'year', 'state', 'joint', 'task', 'forc', 'respond', 'incid', 'exetlo']",6
40,feder agenc issu joint statement manag libor transit cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['feder', 'agenc', 'issu', 'joint', 'statement', 'manag', 'libor', 'transit', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
41,new era cyberthreat inevit order adequ prepar midsiz busi monitor behavior expect breach build cultur scrutin suppli chain iworkforcomcast,"['new', 'era', 'cyberthreat', 'inevit', 'order', 'adequ', 'prepar', 'midsiz', 'busi', 'monitor', 'behavior', 'expect', 'breach', 'build', 'cultur', 'scrutin', 'suppli', 'chain', 'iworkforcomcast']",0
42,feder agenc issu joint statement manag libor transit cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['feder', 'agenc', 'issu', 'joint', 'statement', 'manag', 'libor', 'transit', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
43,feder agenc issu joint statement manag libor transit cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['feder', 'agenc', 'issu', 'joint', 'statement', 'manag', 'libor', 'transit', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
44,friday squid blog squid eat main shrimp cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['friday', 'squid', 'blog', 'squid', 'eat', 'main', 'shrimp', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
45,adolu rais secur critic infrastructur grow sale market team cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['adolu', 'rais', 'secur', 'critic', 'infrastructur', 'grow', 'sale', 'market', 'team', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
46,edpb provid much need clarif new eu scc scope import gdpr cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['edpb', 'provid', 'much', 'need', 'clarif', 'new', 'eu', 'scc', 'scope', 'import', 'gdpr', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
47,fda approv anoth interchang biosimilar drug cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['fda', 'approv', 'anoth', 'interchang', 'biosimilar', 'drug', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
48,move beyond border achiev inform time zero trust cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['move', 'beyond', 'border', 'achiev', 'inform', 'time', 'zero', 'trust', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
49,facebook file suit ukrainian man allegedli scrape data million user cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['facebook', 'file', 'suit', 'ukrainian', 'man', 'allegedli', 'scrape', 'data', 'million', 'user', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
50,global health crisi ip right get bad rap cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['global', 'health', 'crisi', 'ip', 'right', 'get', 'bad', 'rap', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",4
51,million attempt japan olymp infrastructur ntt zdnet,"['million', 'attempt', 'japan', 'olymp', 'infrastructur', 'ntt', 'zdnet']",0
52,groov ransomwar group oper say attempt test media call affili hack group launch us public sector one person,"['groov', 'ransomwar', 'group', 'oper', 'say', 'attempt', 'test', 'media', 'call', 'affili', 'hack', 'group', 'launch', 'us', 'public', 'sector', 'one', 'person']",6
53,groov ransomwar group oper say attempt test media call affili hack group launch us public sector one person,"['groov', 'ransomwar', 'group', 'oper', 'say', 'attempt', 'test', 'media', 'call', 'affili', 'hack', 'group', 'launch', 'us', 'public', 'sector', 'one', 'person']",6
54,suppli chain breach impact firm past year new bluevoyand cio data bigdata tech cybercrim databreach busi datasci cyberthreat fraud ai technolog,"['suppli', 'chain', 'breach', 'impact', 'firm', 'past', 'year', 'new', 'bluevoyand', 'cio', 'data', 'bigdata', 'tech', 'cybercrim', 'databreach', 'busi', 'datasci', 'cyberthreat', 'fraud', 'ai', 'technolog']",0
55,privaci amp concern identifi anticip demonstr patientsafeti issu action api healthapp warrant urgent role ensur patientdata,"['privaci', 'amp', 'concern', 'identifi', 'anticip', 'demonstr', 'patientsafeti', 'issu', 'action', 'api', 'healthapp', 'warrant', 'urgent', 'role', 'ensur', 'patientdata']",0
56,last chang password emailsecur datasecur,"['last', 'chang', 'password', 'emailsecur', 'datasecur']",0
57,million attempt japan olymp infrastructur ntt zdnet,"['million', 'attempt', 'japan', 'olymp', 'infrastructur', 'ntt', 'zdnet']",0
58,last chang password emailsecur datasecur,"['last', 'chang', 'password', 'emailsecur', 'datasecur']",0
59,advisen multi parti lead big loss research review latest iri tsunami report leverag advisen cyberrisk loss data,"['advisen', 'multi', 'parti', 'lead', 'big', 'loss', 'research', 'review', 'latest', 'iri', 'tsunami', 'report', 'leverag', 'advisen', 'cyberrisk', 'loss', 'data']",0
60,last chang password emailsecur datasecur,"['last', 'chang', 'password', 'emailsecur', 'datasecur']",0
61,advisen multi parti lead big loss research review latest iri tsunami report leverag advisen cyberrisk loss data,"['advisen', 'multi', 'parti', 'lead', 'big', 'loss', 'research', 'review', 'latest', 'iri', 'tsunami', 'report', 'leverag', 'advisen', 'cyberrisk', 'loss', 'data']",0
62,real estat busi conduct onlin hacker greater opportun disrupt transact learn step protect client,"['real', 'estat', 'busi', 'conduct', 'onlin', 'hacker', 'greater', 'opportun', 'disrupt', 'transact', 'learn', 'step', 'protect', 'client']",0
63,critic infrastructur affect data caus chao physic world take look real world impact,"['critic', 'infrastructur', 'affect', 'data', 'caus', 'chao', 'physic', 'world', 'take', 'look', 'real', 'world', 'impact']",0
64,million attempt japan olymp infrastructur ntt via amp,"['million', 'attempt', 'japan', 'olymp', 'infrastructur', 'ntt', 'via', 'amp']",0
65,graphql let develop build effici respons amp lightweight app today salt unveil industri first capabl protect grow user commun api read graphql apisecur opensourc,"['graphql', 'let', 'develop', 'build', 'effici', 'respons', 'amp', 'lightweight', 'app', 'today', 'salt', 'unveil', 'industri', 'first', 'capabl', 'protect', 'grow', 'user', 'commun', 'api', 'read', 'graphql', 'apisecur', 'opensourc']",0
66,design effici network increas scalabl protect build autom programm skill devnet specialist autom amp programm train certif devsecop csam ciscocert,"['design', 'effici', 'network', 'increas', 'scalabl', 'protect', 'build', 'autom', 'programm', 'skill', 'devnet', 'specialist', 'autom', 'amp', 'programm', 'train', 'certif', 'devsecop', 'csam', 'ciscocert']",0
67,expert weigh isra hospit ransomwar cybercrim cyberdefens cyberterror,"['expert', 'weigh', 'isra', 'hospit', 'ransomwar', 'cybercrim', 'cyberdefens', 'cyberterror']",6
68,disrupt rise happen find twitterspac event featur dpn global ambassador est,"['disrupt', 'rise', 'happen', 'find', 'twitterspac', 'event', 'featur', 'dpn', 'global', 'ambassador', 'est']",0
69,spear phish type go away month focus rais share best practic protect data,"['spear', 'phish', 'type', 'go', 'away', 'month', 'focus', 'rais', 'share', 'best', 'practic', 'protect', 'data']",1
70,brian dye senior vice presid inform said hacker increasingli novel method bug softwar comput perform result go unnot smallbiz sme smb,"['brian', 'dye', 'senior', 'vice', 'presid', 'inform', 'said', 'hacker', 'increasingli', 'novel', 'method', 'bug', 'softwar', 'comput', 'perform', 'result', 'go', 'unnot', 'smallbiz', 'sme', 'smb']",0
71,last year email protect place crucial protect busi discov protect smb today,"['last', 'year', 'email', 'protect', 'place', 'crucial', 'protect', 'busi', 'discov', 'protect', 'smb', 'today']",0
72,last year email protect place crucial protect busi discov protect smb today,"['last', 'year', 'email', 'protect', 'place', 'crucial', 'protect', 'busi', 'discov', 'protect', 'smb', 'today']",0
73,threat actor realiz prolifer api work advantag read api becom top vector via apisecur,"['threat', 'actor', 'realiz', 'prolifer', 'api', 'work', 'advantag', 'read', 'api', 'becom', 'top', 'vector', 'via', 'apisecur']",0
74,spear phish type go away month focus rais share best practic protect data,"['spear', 'phish', 'type', 'go', 'away', 'month', 'focus', 'rais', 'share', 'best', 'practic', 'protect', 'data']",1
75,hack happen least expect especi holiday season gather around digit campfir time scari stori true ncsam databreach websitesecur,"['hack', 'happen', 'least', 'expect', 'especi', 'holiday', 'season', 'gather', 'around', 'digit', 'campfir', 'time', 'scari', 'stori', 'true', 'ncsam', 'databreach', 'websitesecur']",0
76,advisen multi parti lead big loss research review latest iri tsunami report leverag advisen cyberrisk loss data,"['advisen', 'multi', 'parti', 'lead', 'big', 'loss', 'research', 'review', 'latest', 'iri', 'tsunami', 'report', 'leverag', 'advisen', 'cyberrisk', 'loss', 'data']",0
77,threat actor realiz prolifer api work advantag read api becom top vector via apisecur,"['threat', 'actor', 'realiz', 'prolifer', 'api', 'work', 'advantag', 'read', 'api', 'becom', 'top', 'vector', 'via', 'apisecur']",0
78,appreci toni tekaroniak evan report work block grid high profil ransomwar heighten interest work power doe strengthen,"['appreci', 'toni', 'tekaroniak', 'evan', 'report', 'work', 'block', 'grid', 'high', 'profil', 'ransomwar', 'heighten', 'interest', 'work', 'power', 'doe', 'strengthen']",6
79,hack happen least expect especi holiday season gather around digit campfir time scari stori true ncsam databreach websitesecur,"['hack', 'happen', 'least', 'expect', 'especi', 'holiday', 'season', 'gather', 'around', 'digit', 'campfir', 'time', 'scari', 'stori', 'true', 'ncsam', 'databreach', 'websitesecur']",0
80,hack happen least expect especi holiday season gather around digit campfir time scari stori true ncsam databreach websitesecur,"['hack', 'happen', 'least', 'expect', 'especi', 'holiday', 'season', 'gather', 'around', 'digit', 'campfir', 'time', 'scari', 'stori', 'true', 'ncsam', 'databreach', 'websitesecur']",0
81,best us dupe phish email get better everi day learn recogn respond phish share employe friend themoreyouknow,"['best', 'us', 'dupe', 'phish', 'email', 'get', 'better', 'everi', 'day', 'learn', 'recogn', 'respond', 'phish', 'share', 'employe', 'friend', 'themoreyouknow']",1
82,hack happen least expect especi holiday season gather around digit campfir time scari stori true ncsam databreach websitesecur,"['hack', 'happen', 'least', 'expect', 'especi', 'holiday', 'season', 'gather', 'around', 'digit', 'campfir', 'time', 'scari', 'stori', 'true', 'ncsam', 'databreach', 'websitesecur']",0
83,unless someon save person video gone unreach happen save stuff suck,"['unless', 'someon', 'save', 'person', 'video', 'gone', 'unreach', 'happen', 'save', 'stuff', 'suck']",0
84,fin ransomwar group special healthcar,"['fin', 'ransomwar', 'group', 'special', 'healthcar']",6
85,best us dupe phish email get better everi day learn recogn respond phish share employe friend themoreyouknow,"['best', 'us', 'dupe', 'phish', 'email', 'get', 'better', 'everi', 'day', 'learn', 'recogn', 'respond', 'phish', 'share', 'employe', 'friend', 'themoreyouknow']",1
86,revil ransomwar group goe dark tor site hijack ransomwar revil cybercrim cybercrim,"['revil', 'ransomwar', 'group', 'goe', 'dark', 'tor', 'site', 'hijack', 'ransomwar', 'revil', 'cybercrim', 'cybercrim']",6
87,revil ransomwar group goe dark tor site hijack ransomwar revil cybercrim cybercrim,"['revil', 'ransomwar', 'group', 'goe', 'dark', 'tor', 'site', 'hijack', 'ransomwar', 'revil', 'cybercrim', 'cybercrim']",6
88,flaw winrar lead remot code execut infosec zerotrust zeroday databreach cybercrim datatheft dataprivaci hacker malwar botnet ddo ciso ransomwar technolog tech rt phish,"['flaw', 'winrar', 'lead', 'remot', 'code', 'execut', 'infosec', 'zerotrust', 'zeroday', 'databreach', 'cybercrim', 'datatheft', 'dataprivaci', 'hacker', 'malwar', 'botnet', 'ddo', 'ciso', 'ransomwar', 'technolog', 'tech', 'rt', 'phish']",1
89,design effici network increas scalabl protect build autom programm skill devnet specialist autom amp programm train certif devsecop csam ciscocert,"['design', 'effici', 'network', 'increas', 'scalabl', 'protect', 'build', 'autom', 'programm', 'skill', 'devnet', 'specialist', 'autom', 'amp', 'programm', 'train', 'certif', 'devsecop', 'csam', 'ciscocert']",0
90,disrupt rise happen find twitterspac event featur dpn global ambassador est,"['disrupt', 'rise', 'happen', 'find', 'twitterspac', 'event', 'featur', 'dpn', 'global', 'ambassador', 'est']",0
91,oraclecloud spear phish type go away month focus rais share best practic protect data,"['oraclecloud', 'spear', 'phish', 'type', 'go', 'away', 'month', 'focus', 'rais', 'share', 'best', 'practic', 'protect', 'data']",1
92,target twitter account breach lead million stolen fund cnbc databreach ransomwar,"['target', 'twitter', 'account', 'breach', 'lead', 'million', 'stolen', 'fund', 'cnbc', 'databreach', 'ransomwar']",6
93,target twitter account breach lead million stolen fund cnbc databreach ransomwar,"['target', 'twitter', 'account', 'breach', 'lead', 'million', 'stolen', 'fund', 'cnbc', 'databreach', 'ransomwar']",6
94,target twitter account breach lead million stolen fund cnbc databreach ransomwar,"['target', 'twitter', 'account', 'breach', 'lead', 'million', 'stolen', 'fund', 'cnbc', 'databreach', 'ransomwar']",6
95,spear phish type go away month focus rais share best practic protect data,"['spear', 'phish', 'type', 'go', 'away', 'month', 'focus', 'rais', 'share', 'best', 'practic', 'protect', 'data']",1
96,natur network provid client prevent measur avoid download free report cover biggest risk protect busi websit,"['natur', 'network', 'provid', 'client', 'prevent', 'measur', 'avoid', 'download', 'free', 'report', 'cover', 'biggest', 'risk', 'protect', 'busi', 'websit']",0
97,todayzoo phish kit cobbl togeth malwar cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['todayzoo', 'phish', 'kit', 'cobbl', 'togeth', 'malwar', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",1
98,todayzoo phish kit cobbl togeth malwar cyberwar apt securitybreach malwar zeroday hacker breach pleas retweet,"['todayzoo', 'phish', 'kit', 'cobbl', 'togeth', 'malwar', 'cyberwar', 'apt', 'securitybreach', 'malwar', 'zeroday', 'hacker', 'breach', 'pleas', 'retweet']",1
99,older medic devic oper today use outdat insecur softwar built protect mind,"['older', 'medic', 'devic', 'oper', 'today', 'use', 'outdat', 'insecur', 'softwar', 'built', 'protect', 'mind']",0
100,busi day increas point one step forward cybercrimin especi aggress increas cybercrim,"['busi', 'day', 'increas', 'point', 'one', 'step', 'forward', 'cybercrimin', 'especi', 'aggress', 'increas', 'cybercrim']",0
101,ice age farmer warn ceo food price explod fbi nsa warn food amp water system,"['ice', 'age', 'farmer', 'warn', 'ceo', 'food', 'price', 'explod', 'fbi', 'nsa', 'warn', 'food', 'amp', 'water', 'system']",0
102,iot one vulner area enterpris massiv iot devic armi effect way launch realli,"['iot', 'one', 'vulner', 'area', 'enterpris', 'massiv', 'iot', 'devic', 'armi', 'effect', 'way', 'launch', 'realli']",0
103,iot one vulner area enterpris massiv iot devic armi effect way launch realli,"['iot', 'one', 'vulner', 'area', 'enterpris', 'massiv', 'iot', 'devic', 'armi', 'effect', 'way', 'launch', 'realli']",0
104,ceo food price explod fbi nsa warn food amp via,"['ceo', 'food', 'price', 'explod', 'fbi', 'nsa', 'warn', 'food', 'amp', 'via']",0
105,ceo food price explod fbi nsa warn food amp water system ice age farmer truth live sgt report corrupt death dollar economi news polit ceo food price explod,"['ceo', 'food', 'price', 'explod', 'fbi', 'nsa', 'warn', 'food', 'amp', 'water', 'system', 'ice', 'age', 'farmer', 'truth', 'live', 'sgt', 'report', 'corrupt', 'death', 'dollar', 'economi', 'news', 'polit', 'ceo', 'food', 'price', 'explod']",0
106,report firm second ransomwar pay first daysofcod infosec zerotrust zeroday databreach cybercrim datatheft dataprivaci hacker malwar botnet ddo ciso tech rt,"['report', 'firm', 'second', 'ransomwar', 'pay', 'first', 'daysofcod', 'infosec', 'zerotrust', 'zeroday', 'databreach', 'cybercrim', 'datatheft', 'dataprivaci', 'hacker', 'malwar', 'botnet', 'ddo', 'ciso', 'tech', 'rt']",2
107,research middleeast face wave threat sinc start covid pandem saudi expert explain work,"['research', 'middleeast', 'face', 'wave', 'threat', 'sinc', 'start', 'covid', 'pandem', 'saudi', 'expert', 'explain', 'work']",0
108,research middleeast face wave threat sinc start covid pandem saudi expert explain work,"['research', 'middleeast', 'face', 'wave', 'threat', 'sinc', 'start', 'covid', 'pandem', 'saudi', 'expert', 'explain', 'work']",0
109,stay safe vpn like alway key stay safe hide onlin choos smart anti malwar improv brows habit secur protocol implement websit,"['stay', 'safe', 'vpn', 'like', 'alway', 'key', 'stay', 'safe', 'hide', 'onlin', 'choos', 'smart', 'anti', 'malwar', 'improv', 'brows', 'habit', 'secur', 'protocol', 'implement', 'websit']",5
110,research middleeast face wave threat sinc start covid pandem saudi expert explain work,"['research', 'middleeast', 'face', 'wave', 'threat', 'sinc', 'start', 'covid', 'pandem', 'saudi', 'expert', 'explain', 'work']",0
111,american offici conced beyond brief triumph materi shift russian sinc presid biden first summit russia presid vladimir putin june,"['american', 'offici', 'conced', 'beyond', 'brief', 'triumph', 'materi', 'shift', 'russian', 'sinc', 'presid', 'biden', 'first', 'summit', 'russia', 'presid', 'vladimir', 'putin', 'june']",0
112,biden turn blind eye putin warfar target america start obama admin mishandl russian threat america watch guest appear first tv,"['biden', 'turn', 'blind', 'eye', 'putin', 'warfar', 'target', 'america', 'start', 'obama', 'admin', 'mishandl', 'russian', 'threat', 'america', 'watch', 'guest', 'appear', 'first', 'tv']",0
113,american offici conced beyond brief triumph materi shift russian sinc presid biden first summit russia presid vladimir putin june,"['american', 'offici', 'conced', 'beyond', 'brief', 'triumph', 'materi', 'shift', 'russian', 'sinc', 'presid', 'biden', 'first', 'summit', 'russia', 'presid', 'vladimir', 'putin', 'june']",0
114,american offici conced beyond brief triumph materi shift russian sinc presid biden first summit russia presid vladimir putin june,"['american', 'offici', 'conced', 'beyond', 'brief', 'triumph', 'materi', 'shift', 'russian', 'sinc', 'presid', 'biden', 'first', 'summit', 'russia', 'presid', 'vladimir', 'putin', 'june']",0
115,american offici conced beyond brief triumph materi shift russian sinc presid biden first summit russia presid vladimir putin june,"['american', 'offici', 'conced', 'beyond', 'brief', 'triumph', 'materi', 'shift', 'russian', 'sinc', 'presid', 'biden', 'first', 'summit', 'russia', 'presid', 'vladimir', 'putin', 'june']",0
116,harden surfac best defens organ struggl keep check infograph challeng hygien servicenow help,"['harden', 'surfac', 'best', 'defens', 'organ', 'struggl', 'keep', 'check', 'infograph', 'challeng', 'hygien', 'servicenow', 'help']",0
117,harden surfac best defens organ struggl keep check infograph challeng hygien servicenow help,"['harden', 'surfac', 'best', 'defens', 'organ', 'struggl', 'keep', 'check', 'infograph', 'challeng', 'hygien', 'servicenow', 'help']",0
118,stay safe vpn like alway key stay safe hide onlin choos smart anti malwar improv brows habit secur protocol implement websit,"['stay', 'safe', 'vpn', 'like', 'alway', 'key', 'stay', 'safe', 'hide', 'onlin', 'choos', 'smart', 'anti', 'malwar', 'improv', 'brows', 'habit', 'secur', 'protocol', 'implement', 'websit']",5
119,stay safe vpn like alway key stay safe hide onlin choos smart anti malwar improv brows habit secur protocol implement websit,"['stay', 'safe', 'vpn', 'like', 'alway', 'key', 'stay', 'safe', 'hide', 'onlin', 'choos', 'smart', 'anti', 'malwar', 'improv', 'brows', 'habit', 'secur', 'protocol', 'implement', 'websit']",5
120,harden surfac best defens organ struggl keep check infograph challeng hygien servicenow help,"['harden', 'surfac', 'best', 'defens', 'organ', 'struggl', 'keep', 'check', 'infograph', 'challeng', 'hygien', 'servicenow', 'help']",0
121,give free tool amp train non government organ ngo among top target cyberspiraci infosec hack,"['give', 'free', 'tool', 'amp', 'train', 'non', 'government', 'organ', 'ngo', 'among', 'top', 'target', 'cyberspiraci', 'infosec', 'hack']",0
122,give free tool amp train non government organ ngo among top target cyberspiraci infosec hack,"['give', 'free', 'tool', 'amp', 'train', 'non', 'government', 'organ', 'ngo', 'among', 'top', 'target', 'cyberspiraci', 'infosec', 'hack']",0
